	gold	narrative	brc	sum	ARG0	va_key	ARG1
0	$ 10 virus outbreak ** CONTINUE ** 5 year breakout	$ 10 virus outbreak ** CONTINUE ** 5 year breakout	1292	1	$ 10 virus outbreak	CONTINUE	5 year breakout
1	's ** AFFIRM ** 50 average	's ** AFFIRM ** 50 average	1577	1	's	AFFIRM	50 average
2	* singapore ** AFFIRM ** first china virus case	* singapore ** AFFIRM ** first china virus case	771	3	* singapore	AFFIRM	first china virus case
3	* singapore ** AFFIRM ** first china virus case	singapore ** INFORM ** virus case china	771	3	* singapore	AFFIRM	first china virus case
4	* singapore ** AFFIRM ** first china virus case	singapore reports virus case china ** RESTRAIN ** some travel	771	3	* singapore	AFFIRM	first china virus case
5	. health officials ** SEARCH ** emergency approval use diagnostic test	. health officials ** SEARCH ** emergency approval use diagnostic test	492	2	. health officials	SEARCH	emergency approval use diagnostic test
6	1 ** HAPPEN_OCCUR ** the war drugs response crack epidemic	1 ** HAPPEN_OCCUR ** the war drugs response crack epidemic	1237	1	1	HAPPEN_OCCUR	the war drugs response crack epidemic
7	1 000 doctors ** WORK ** xiaotangshan hospital front line	1 000 doctors ** WORK ** xiaotangshan hospital front line	522	2	1 000 doctors	WORK	xiaotangshan hospital front line
8	1 000 doctors ** WORK ** xiaotangshan hospital front line	a video circulated social media ** SHOW ** hospital hubei china jam - packed patients	522	2	1 000 doctors	WORK	xiaotangshan hospital front line
9	1 2 cdc ** REQUIRE_NEED_WANT_HOPE ** clear new wuhan virus test emergency use authorization	1 2 cdc ** REQUIRE_NEED_WANT_HOPE ** clear new wuhan virus test emergency use authorization	883	2	1 2 cdc	REQUIRE_NEED_WANT_HOPE	clear new wuhan virus test emergency use authorization
10	1 2 cdc ** REQUIRE_NEED_WANT_HOPE ** clear new wuhan virus test emergency use authorization	a disease ** AUTHORIZE_ADMIT ** large - scale quarantine movement	883	2	1 2 cdc	REQUIRE_NEED_WANT_HOPE	clear new wuhan virus test emergency use authorization
11	1 4 women 20 's ** RECOGNIZE_ADMIT_IDENTIFY ** binge drinking	1 4 women 20 's ** RECOGNIZE_ADMIT_IDENTIFY ** binge drinking	1512	2	1 4 women 20 's	RECOGNIZE_ADMIT_IDENTIFY	binge drinking
12	1 4 women 20 's ** RECOGNIZE_ADMIT_IDENTIFY ** binge drinking	a cdc report ** REVEAL ** 1 4 women 20 's admitted binge drinking	1512	2	1 4 women 20 's	RECOGNIZE_ADMIT_IDENTIFY	binge drinking
13	1 layer mask ** DRESS_WEAR ** 2 layers	1 layer mask ** DRESS_WEAR ** 2 layers	198	1	1 layer mask	DRESS_WEAR	2 layers
14	10 things ** KNOW ** earthquake kylekuzma impeachment wuhancoronavirus derekjeter ozzyosbourne	10 things ** KNOW ** earthquake kylekuzma impeachment wuhancoronavirus derekjeter ozzyosbourne	599	1	10 things	KNOW	earthquake kylekuzma impeachment wuhancoronavirus derekjeter ozzyosbourne
15	106 fever family ** SPEAK ** i likely would	106 fever family ** SPEAK ** i likely would	1092	1	106 fever family	SPEAK	i likely would
16	11 million people ** RESTRAIN ** leaving	11 million people ** GUARANTEE_ENSURE_PROMISE ** transportation th	1127	3	11 million people	RESTRAIN	leaving
17	11 million people ** RESTRAIN ** leaving	11 million people ** RESTRAIN ** leaving	1127	3	11 million people	RESTRAIN	leaving
18	13 000 000 + people ** RESIGN_RETIRE ** us	13 000 000 + people ** RESIGN_RETIRE ** us	1115	2	13 000 000 + people	RESIGN_RETIRE	us
19	13 000 000 + people ** RESIGN_RETIRE ** us	2000 cases ** RESIGN_RETIRE ** related injuries	1115	2	13 000 000 + people	RESIGN_RETIRE	us
20	14 million people ** LIBERATE_ALLOW_AFFORD ** anyone leave	14 million people ** LIBERATE_ALLOW_AFFORD ** anyone leave	1128	2	14 million people	LIBERATE_ALLOW_AFFORD	anyone leave
21	153 passengers ** COURT ** their basis	153 passengers ** COURT ** their basis	493	1	153 passengers	COURT	their basis
22	17 ** CIRCULATE_SPREAD_DISTRIBUTE ** us thailand south korea	17 ** CIRCULATE_SPREAD_DISTRIBUTE ** us thailand south korea	573	3	17	CIRCULATE_SPREAD_DISTRIBUTE	us thailand south korea
23	17 470 infected china experts ** WARN ** ' mutating ' bug could ' spread further	17 470 infected china experts ** WARN ** ' mutating ' bug could ' spread further	688	5	17 470 infected china experts	WARN	' mutating ' bug could ' spread further
24	17 470 infected china experts ** WARN ** ' mutating ' bug could ' spread further	nine 440 infected china experts ** WARN ** ' mutating ' bug could ' spread furthe	688	5	17 470 infected china experts	WARN	' mutating ' bug could ' spread further
25	17 deaths ** INFORM ** 500 + cases reported	17 deaths ** INFORM ** 500 + cases reported	1293	3	17 deaths	INFORM	500 + cases reported
26	17 deaths ** INFORM ** 500 + cases reported	17 people ** LOSE ** lives	1293	3	17 deaths	INFORM	500 + cases reported
27	17 deaths ** INFORM ** 500 + cases reported	hundreds ** CAUSE-SMT ** 17 deaths	1293	3	17 deaths	INFORM	500 + cases reported
28	17 officials ** FACE_CHALLENGE ** growing epidemic	17 . coronavirus outbreak ** BEGIN ** secret lab ' studying world 's deadliest diseases	1260	6	17 officials	FACE_CHALLENGE	growing epidemic
29	17 officials ** FACE_CHALLENGE ** growing epidemic	17 officials ** FACE_CHALLENGE ** growing epidemic	1260	6	17 officials	FACE_CHALLENGE	growing epidemic
30	17 officials ** FACE_CHALLENGE ** growing epidemic	17 officials ** FACE_CHALLENGE ** growing epidemic smartnews	1260	6	17 officials	FACE_CHALLENGE	growing epidemic
31	19 million people ** SECURE_FASTEN_TIE ** entire city	19 million people ** SECURE_FASTEN_TIE ** entire city	447	2	19 million people	SECURE_FASTEN_TIE	entire city
32	19 million people ** SECURE_FASTEN_TIE ** entire city	2 cities ** SECURE_FASTEN_TIE ** major travel disruptions	447	2	19 million people	SECURE_FASTEN_TIE	entire city
33	19 million people china ** TRY ** lock	19 million people china ** TRY ** lock	574	1	19 million people china	TRY	lock
34	1918 ** DECREE_DECLARE ** miasmat	1918 ** DECREE_DECLARE ** miasmat	1688	1	1918	DECREE_DECLARE	miasmat
35	2 cdc - 2019 novel coronavirus first travel - related case 2019 novel coronavirus ** FIND ** united states th	2 cdc - 2019 novel coronavirus first travel - related case 2019 novel coronavirus ** FIND ** united states th	967	3	2 cdc - 2019 novel coronavirus first travel - related case 2019 novel coronavirus	FIND	united states th
36	2 cdc - 2019 novel coronavirus first travel - related case 2019 novel coronavirus ** FIND ** united states th	first travel - related case 2019 novel coronavirus ** FIND ** united states	967	3	2 cdc - 2019 novel coronavirus first travel - related case 2019 novel coronavirus	FIND	united states th
37	2 cdc - 2019 novel coronavirus first travel - related case 2019 novel coronavirus ** FIND ** united states th	first travel - related case 2019 novel coronavirus ** FIND ** united states publichealth laboratory	967	3	2 cdc - 2019 novel coronavirus first travel - related case 2019 novel coronavirus	FIND	united states th
38	2 cities ** SECURE_FASTEN_TIE ** major travel disruptions china coronavirus	2 cities ** SECURE_FASTEN_TIE ** major travel disruptions china coronavirus	850	2	2 cities	SECURE_FASTEN_TIE	major travel disruptions china coronavirus
39	2 cities ** SECURE_FASTEN_TIE ** major travel disruptions china coronavirus	china ** SECURE_FASTEN_TIE ** two cities epicenter coronavirus outbreak	850	2	2 cities	SECURE_FASTEN_TIE	major travel disruptions china coronavirus
40	2 obi - wan ’s second lightsaber ** MOUNT_ASSEMBLE_PRODUCE ** original design wielded jedi knight	2 obi - wan ’s second lightsaber ** MOUNT_ASSEMBLE_PRODUCE ** original design wielded jedi knight	360	2	2 obi - wan ’s second lightsaber	MOUNT_ASSEMBLE_PRODUCE	original design wielded jedi knight
41	2 obi - wan ’s second lightsaber ** MOUNT_ASSEMBLE_PRODUCE ** original design wielded jedi knight	2 obi - wan ’s second lightsaber rebuild original design ** CATCH ** jedi knight	360	2	2 obi - wan ’s second lightsaber	MOUNT_ASSEMBLE_PRODUCE	original design wielded jedi knight
42	20 million people ** CAGE_IMPRISON ** three cities	20 million people ** CAGE_IMPRISON ** three cities	494	1	20 million people	CAGE_IMPRISON	three cities
43	200 cases ** CONTAIN ** china big deal th	200 cases ** CONTAIN ** china big deal th	575	3	200 cases	CONTAIN	china big deal th
44	2003 epidemic ** LEAVE_DEPART_RUN-AWAY ** 775	2003 epidemic ** LEAVE_DEPART_RUN-AWAY ** 775	1216	5	2003 epidemic	LEAVE_DEPART_RUN-AWAY	775
45	2003 wuhan ncov ** AFFECT ** stock price	2003 wuhan ncov ** AFFECT ** stock price	361	1	2003 wuhan ncov	AFFECT	stock price
46	2020 scientists ** WARN ** 😢 now factor prior decades of	2020 scientists ** WARN ** 😢 now factor prior decades of	1217	1	2020 scientists	WARN	😢 now factor prior decades of
47	23 % country democrats ** IMPLY ** 20 % country mentally ill that staggering epidemic tds	23 % country democrats ** IMPLY ** 20 % country mentally ill that staggering epidemic tds	1171	1	23 % country democrats	IMPLY	20 % country mentally ill that staggering epidemic tds
48	250 000 people ** SEARCH ** hospital care	250 000 people ** SEARCH ** hospital care	1062	2	250 000 people	SEARCH	hospital care
49	250 000 people ** SEARCH ** hospital care	patients ** REACH ** medical assistance	1062	2	250 000 people	SEARCH	hospital care
50	3 chinese regions including tibet inner mongolia ** INFORM ** cases wuhan virus	3 chinese regions including tibet inner mongolia ** INFORM ** cases wuhan virus	523	11	3 chinese regions including tibet inner mongolia	INFORM	cases wuhan virus
51	3 chinese regions including tibet inner mongolia ** INFORM ** cases wuhan virus	caixin ** REMOVE_TAKE-AWAY_KIDNAP ** paywall wuhancoronavirus related articles chinese	523	11	3 chinese regions including tibet inner mongolia	INFORM	cases wuhan virus
52	3 cities ** ORGANIZE ** central china	3 cities ** ORGANIZE ** central china	576	1	3 cities	ORGANIZE	central china
53	3 m 8511 particulate disposable respirator n95 ** BREAK_DETERIORATE ** sanding	3 m 8511 particulate disposable respirator n95 ** BREAK_DETERIORATE ** sanding	103	2	3 m 8511 particulate disposable respirator n95	BREAK_DETERIORATE	sanding
54	3 m 8511 particulate disposable respirator n95 ** BREAK_DETERIORATE ** sanding	3 m 8511 particulate disposable respirator n95 ** SEE ** sweeping dust smoke	103	2	3 m 8511 particulate disposable respirator n95	BREAK_DETERIORATE	sanding
55	3 people ** GO-FORWARD ** wuhan scotland	26 500 people ** GO-FORWARD ** wuhan	495	3	3 people	GO-FORWARD	wuhan scotland
56	3 people ** GO-FORWARD ** wuhan scotland	3 people ** GO-FORWARD ** wuhan scotland	495	3	3 people	GO-FORWARD	wuhan scotland
57	3 people who 've recently travelled wuhan scotland ** HELP_HEAL_CARE_CURE ** suspected cases	3 people scotland ** HELP_HEAL_CARE_CURE ** suspected cases	657	3	3 people who 've recently travelled wuhan scotland	HELP_HEAL_CARE_CURE	suspected cases
58	3 people who 've recently travelled wuhan scotland ** HELP_HEAL_CARE_CURE ** suspected cases	3 people who 've recently travelled wuhan scotland ** HELP_HEAL_CARE_CURE ** suspected cases	657	3	3 people who 've recently travelled wuhan scotland	HELP_HEAL_CARE_CURE	suspected cases
59	300k people ** GO-FORWARD ** train	300k people ** GO-FORWARD ** train	1129	1	300k people	GO-FORWARD	train
60	32 states ** UNDERGO-EXPERIENCE ** high levels flu - like - illness latest	32 states ** UNDERGO-EXPERIENCE ** high levels flu - like - illness latest	1319	2	32 states	UNDERGO-EXPERIENCE	high levels flu - like - illness latest
61	4 chinese usa ** SPEAK ** authorities 2 smartly contain latest deadly outbreak nih cdc 2 find vaccine 2 defe	4 chinese usa ** SPEAK ** authorities 2 smartly contain latest deadly outbreak nih cdc 2 find vaccine 2 defe	838	2	4 chinese usa	SPEAK	authorities 2 smartly contain latest deadly outbreak nih cdc 2 find vaccine 2 defe
62	4 chinese usa ** SPEAK ** authorities 2 smartly contain latest deadly outbreak nih cdc 2 find vaccine 2 defe	@cdcgov ** PROPOSE ** shingrix vaccine effecti	838	2	4 chinese usa	SPEAK	authorities 2 smartly contain latest deadly outbreak nih cdc 2 find vaccine 2 defe
63	4 chinese usa authorities ** CONTAIN ** latest deadly outbreak nih cdc	4 chinese usa authorities ** CONTAIN ** latest deadly outbreak nih cdc	524	1	4 chinese usa authorities	CONTAIN	latest deadly outbreak nih cdc
64	4 people scotland ** VERIFY ** coronavirus traveling wuhan - pa	4 people scotland ** VERIFY ** coronavirus traveling wuhan - pa	658	2	4 people scotland	VERIFY	coronavirus traveling wuhan - pa
65	4 tips ** HELP_HEAL_CARE_CURE ** keep	4 tips ** HELP_HEAL_CARE_CURE ** keep	362	2	4 tips	HELP_HEAL_CARE_CURE	keep
66	4 tips ** HELP_HEAL_CARE_CURE ** keep	chinese ** HELP_HEAL_CARE_CURE ** patients	362	2	4 tips	HELP_HEAL_CARE_CURE	keep
67	4th generation ** CIRCULATE_SPREAD_DISTRIBUTE ** coronavirus ncov2019 wuhan china coronavirusoutbreak	4th generation ** CIRCULATE_SPREAD_DISTRIBUTE ** coronavirus ncov2019 wuhan china coronavirusoutbreak	1005	2	4th generation	CIRCULATE_SPREAD_DISTRIBUTE	coronavirus ncov2019 wuhan china coronavirusoutbreak
68	4th generation ** CIRCULATE_SPREAD_DISTRIBUTE ** coronavirus ncov2019 wuhan china coronavirusoutbreak	novel coronavirus news ** CIRCULATE_SPREAD_DISTRIBUTE ** novel coronavirus also known 2019-ncov	1005	2	4th generation	CIRCULATE_SPREAD_DISTRIBUTE	coronavirus ncov2019 wuhan china coronavirusoutbreak
69	6 000 people ** CONTRACT-AN-ILLNESS_INFECT ** china	6 000 people ** CONTRACT-AN-ILLNESS_INFECT ** china	659	22	6 000 people	CONTRACT-AN-ILLNESS_INFECT	china
70	6 000 people ** CONTRACT-AN-ILLNESS_INFECT ** china	a single ebola carrier ** CONTRACT-AN-ILLNESS_INFECT ** 2 others	659	22	6 000 people	CONTRACT-AN-ILLNESS_INFECT	china
71	60 % chance flu season peaked ** IMPLY ** th	60 % chance flu season peaked ** IMPLY ** th	617	2	60 % chance flu season peaked	IMPLY	th
