	Arg	gold
0	$ 1.4 million big pharma	$ 1.4 million big pharma
1	$ 10 $ 30 billion economic shock 2003 wuhan ncov already affected stock	$ 10 $ 30 billion economic shock 2003 wuhan ncov already affected stock
2	$ 10 virus outbreak	$ 10 virus outbreak
3	$ 200 million	$ 200 million
4	$ 4 241 750 nra - backed	$ 4 241 750 nra - backed
5	$ 6 000 treated flu two bags	$ 6 000 treated flu two bags
6	$ btc price action	$ btc price action
7	' mutating ' bug could ' spread furthe	' mutating ' bug could ' spread furthe
8	' mutating ' bug could ' spread further	' mutating ' bug could ' spread further
9	' too early ' declare coronavirus outbreak international emergency coronavirusoutbreak	' too early ' declare coronavirus outbreak international emergency coronavirusoutbreak
10	' wuhan ' coronavirus quebec city montreal	wuhan coronavirus
11	's	's
12	's aidswatch	's aidswatch
13	's bet whether zombies would infected wuhancoronavirus 🥴 zombies might think	wuhancoronavirus
14	* singapore	singapore
15	- japan - south korea - thailand - usa - taiwan - macau - hong kong 11 million	- japan - south korea - thailand - usa - taiwan - macau - hong kong 11 million
16	- us scientists	- us scientists
17	. health officials	. health officials
18	1	1
19	1 000 doctors	. health officials
20	1 2 cdc	cdc
21	1 4 women 20 's	1 4 women 20 's
22	1 4 women 20 's admitted binge drinking	1 4 women 20 's admitted binge drinking
23	1 7 americans physically inactive — worse ge	1 7 americans physically inactive — worse ge
24	1 layer mask	1 layer mask
25	1 layer mask does n’t work wear 2 layers . ” here ’s scene wuhan epicenter c	1 layer mask does n’t work wear 2 layers . ” here ’s scene wuhan epicenter c
26	10 $ 23	10 $ 23
27	10 % morbidity 3.3 % outbreak	10 % morbidity 3.3 % outbreak
28	10 000 patients	10 000 patients
29	10 000 patients may caught sars - like virus wuhan	wuhan virus
30	10 000 women men	10 000 women men
31	10 things	things
32	10 times	10 times
33	10 times worse	10 times worse
34	10-year update the leaky bucket report	10-year update the leaky bucket report
35	100 wild animals sale	100 wild animals sale
36	1000 coronovirus patient	1000 coronovirus patient
37	102 million american adults 20 years older total cholesterol levels	102 million american adults 20 years older total cholesterol levels
38	106 fever family	106 fever family
39	10x larger sars	sars
40	11 mil chinese citizens placed de - facto house arrest combat	11 mil chinese citizens placed de - facto house arrest combat
41	11 million people	11 million people
42	11 million people in wuhan	11 million people in wuhan
43	11 million people officials	11 million people
44	11 million people wuhan city	11 million people in wuhan
45	11 million try	11 million try
46	11 million wuhan home	11 million wuhan home
47	11 million wuhan home deadly virus	wuhan virus
48	12 000-per - month hollywood hills home	12 000-per - month hollywood hills home
49	13 000 000 + people	11 million people
50	13 new cases wuhan coronavirus bringing total numbe	suspected case wuhan coronavirus
51	14 million people	11 million people
52	153 passengers	153 passengers
53	153 passengers wuhan their basis	153 passengers wuhan their basis
54	16 people came close contac	16 people came close contac
55	17	17
56	17 . coronavirus outbreak	$ 10 virus outbreak
57	17 470 infected china experts	17 470 infected china experts
58	17 china	china
59	17 dead china	17 dead china
60	17 deaths	17 deaths
61	17 deaths china & gt;&gt	17 deaths china & gt;&gt
62	17 hubei province wuhan city	17 hubei province wuhan city
63	17 infected	17 infected
64	17 lives	17 lives
65	17 officials	17 deaths
66	17 people	17 people
67	17 people confirmed dead coronavirus outbreak.⁣	17 people confirmed dead coronavirus outbreak.⁣
68	17 people died coronavirus 500 cases killer strain confirmed	17 people confirmed dead coronavirus outbreak.⁣
69	17 people inf	17 people
70	17 people infected 540	17 people infected 540
71	17 ppl	17 ppl
72	17 sickens	17 sickens
73	17 w cases hong kong taiwan japan south korea u.s .	17 w cases hong kong taiwan japan south korea u.s .
74	17 wednesday	thursday
75	170 patients related novel	170 patients related novel
76	18 china	china
77	18 m viral outbreak	18 m viral outbreak
78	18 people	18 people
79	19 million people	11 million people
80	19 million people china	11 million people
81	1918	1918
82	1st case	first case
83	1st case coronavirus u.s	coronavirus confirmed us case
84	1st coronavirus case outbreak	coronavirus confirmed us case
85	2 300 serious advers	2 300 serious advers
86	2 cdc - 2019 novel coronavirus first travel - related case 2019 novel coronavirus	suspected case 2019 novel coronavirus
87	2 cities	two cities
88	2 layers	2 layers
89	2 million americans	most americans
90	2 obi - wan ’s second lightsaber	2 obi - wan ’s second lightsaber
91	2 obi - wan ’s second lightsaber rebuild original design	2 obi - wan ’s second lightsaber
92	2 others	2 others
93	2 too many	2 too many
94	20 % country mentally ill that staggering epidemic tds	20 % country mentally ill that staggering epidemic tds
95	20 ambulance rushing xiaotangshan hospital beijing use b special fac	20 ambulance rushing xiaotangshan hospital beijing use b special fac
96	20 million people	11 million people
97	20 million people 3 cities	20 million people 3 cities
98	200 cases	200 cases
99	2000 cases	200 cases
100	2000 time	2000 time
101	2003 epidemic	epidemic
102	2003 wuhan ncov	2019-ncov
103	2018	2018
104	2018 cleared distribution	2018 cleared distribution
105	2019 novel coronavirus 2019-ncov	suspected case 2019 novel coronavirus
106	2019 novel coronavirus case	suspected case 2019 novel coronavirus
107	2019 novelcoronavirus ” many times today it ’s time name virus	2019 novelcoronavirus ” many times today it ’s time name virus
108	2019-ncov	2019-ncov
109	2019-ncov man 30s japan travelled wuhan	2019-ncov man 30s japan travelled wuhan
110	2019-ncov novel coronavirus as hong kong	suspected case 2019 novel coronavirus
111	2019-ncov spread real - time	2019-ncov spread real - time
112	2020 scientists	- us scientists
113	23 % country democrats	23 % country democrats
114	23 million people	11 million people
115	24 long years	years
116	250 000 people	250 000 people
117	26 500 people	250 000 people
118	270 rape kits	270 rape kits
119	28 days surfaces	28 days surfaces
120	29 % reduction	29 % reduction
121	29 base deletion reduced	29 base deletion reduced
122	2nd case ncov-2019 novel coronavirus	suspected case 2019 novel coronavirus
123	2nd day arguments impeachment trial	2nd day arguments impeachment trial
124	3	2 too many
125	3 chinese cities lockdown curb	3 chinese cities lockdown curb
126	3 chinese cities lockdown effort	3 chinese cities lockdown curb
127	3 chinese regions including tibet inner mongolia	3 chinese regions including tibet inner mongolia
128	3 cities	three cities
129	3 cities home	three cities
130	3 health warning coronavirus	3 health warning coronavirus
131	3 m 8511 particulate disposable respirator n95	3 m 8511 particulate disposable respirator n95
132	3 people	18 people
133	3 people scotland	3 people scotland
134	3 people tamiflu far	3 people tamiflu far
135	3 people who 've recently travelled wuhan scotland	3 people who 've recently travelled wuhan scotland
136	300k people	250 000 people
137	32 states	32 states
138	3rd - quarter salary fight opioid epidemic	opioid epidemic
139	4 chinese usa	4 chinese usa
140	4 chinese usa authorities	4 chinese usa
141	4 new cases coronavirus	coronavirus confirmed us case
142	4 people scotland	3 people scotland
143	4 tips	4 tips
144	4-college team spanni	4-college team spanni
145	440 cases 9 deaths 13 provinces regions	440 cases 9 deaths 13 provinces regions
146	482 cases 473 china 9 deaths incl	482 cases 473 china 9 deaths incl
147	4th generation	4th generation
148	4th generation spread coronavirus ncov2019 wuhan china coronavirusoutbreak	wuhan coronavirus
149	5 things	things
150	5 year breakout	5 year breakout
151	50 average	50 average
152	50 mi	50 mi
153	500 + cases reported	200 cases
154	6 000 people	250 000 people
155	6 600 - 17 000 people h	250 000 people
156	6 china	china
157	60 % chance flu season peaked	60 % chance flu season peaked
158	60 % chance flu season peaked does n’t mean th	60 % chance flu season peaked does n’t mean th
159	600 + coronavirus cases	coronavirus confirmed us case
160	61k	61k
161	637 cases 17 deaths	637 cases 17 deaths
162	7 - 14 days	7 - 14 days
163	7 studios	7 studios
164	775	775
165	78 % teens not name	78 % teens not name
166	8 deaths wuhanpneumonia 2020 - 01 - 23 1544	8 deaths wuhanpneumonia 2020 - 01 - 23 1544
167	80 000 masks	80 000 masks
168	80 000 people died regular flu 2018	80 000 people died regular flu 2018
169	80 kilometers	80 kilometers
170	80000 respirators	80 000 masks
171	80yo patient hebei province	80yo patient hebei province
172	9 889 new hiv diagnoses — about 26 % new hiv diagnoses	9 889 new hiv diagnoses — about 26 % new hiv diagnoses
173	9 china	china
174	9 people	17 people
175	90	90
176	93 % cervical cancers	93 % cervical cancers
177	95 % people	95 % people
178	97 % young people	97 % young people
179	@_davidasher	@_davidasher
180	@american_heart fight youth e - cigarette use vaping	@american_heart fight youth e - cigarette use vaping
181	@angela_bower	@_davidasher
182	@basedpoland ccp	@basedpoland ccp
183	@bnonews	@_davidasher
184	@bradjorgensen8 cdc	@bradjorgensen8 cdc
185	@calicobayfarm	@calicobayfarm
186	@caluvsdogs @cdcgov great resource look information link	@caluvsdogs @cdcgov great resource look information link
187	@carlvphillips	@carlvphillips
188	@cdc_ncbddd 's wednesdaythoughts	@cdc_ncbddd 's wednesdaythoughts
189	@cdcenvironment	@cdcgov
190	@cdcgov	@cdcgov
191	@charissefarah yesterday who declined classify outbreak public health emergency	@charissefarah yesterday who declined classify outbreak public health emergency
192	@cnn @drtedros u.s . cdc	@charissefarah yesterday who declined classify outbreak public health emergency
193	@dcist	@cdcgov
194	@dhsgov	@cdcgov
195	@drleanawen governments	@realdonaldtrump
196	@drtedros	@cdcgov
197	@ericrubinlab wuhan virus	@ericrubinlab wuhan virus
198	@eviljohnsavage @kajundo	@eviljohnsavage @kajundo
199	@freaks_hhn	@freaks_hhn
200	@gwynethpaltrow candle blame	@gwynethpaltrow candle blame
201	@heidikwilliams ' innovative min	@heidikwilliams ' innovative min
202	@howroute	@howroute
203	@indopac_info	@cdcgov
204	@jack	@jackposobiec
205	@jackposobiec	@jackposobiec
206	@jackposobiec cdc website	@jackposobiec cdc website
207	@jencwalling 's great conversation @annadavlantes	@jencwalling 's great conversation @annadavlantes
208	@jordan_sather	@jordan_sather
209	@kokomothegreat	@kokomothegreat
210	@lauren_g411	@lauren_g411
211	@leonlush	@cdcgov
212	@mgerrydoyle @soledadobrien i read earlier week	@mgerrydoyle @soledadobrien i read earlier week
213	@mikebloomberg	@mikebloomberg
214	@nadeshot naruto shippuden	@nadeshot naruto shippuden
215	@nate_taplin	@nate_taplin
216	@ncstateshs	@cdcgov
217	@nfrechen	@nfrechen
218	@nikkisixx	@nikkisixx
219	@nioshbreathe	@_davidasher
220	@orioletweets	@orioletweets
221	@paulkrugman	@paulkrugman
222	@pittcvr	@pittcvr
223	@politicalorgy	@realdonaldtrump
224	@potus	@realdonaldtrump
225	@potus pharmadeepstate	@realdonaldtrump
226	@procailidocaine	@procailidocaine
227	@quaidmorris	@quaidmorris
228	@randpaul	@randpaul
229	@realdonaldtrump	@realdonaldtrump
230	@reubing	@reubing
231	@richseviora @tylerjswolff cdc	@richseviora @tylerjswolff cdc
232	@roguerifter	@roguerifter
233	@ryanafournier	@ryanafournier
234	@rzhongnotes ' supposition yesterday	@rzhongnotes ' supposition yesterday
235	@s3riosly cdc who march	@s3riosly cdc who march
236	@scharschool biodefense alum @saskiapopescu	@scharschool biodefense alum @saskiapopescu
237	@stranddphilia	@stranddphilia
238	@thetbohn impotus	@realdonaldtrump
239	@thewillhobson	@thewillhobson
240	@ucrsom	@ucrsom
241	@unyshek 's halo 5 spartan	@unyshek 's halo 5 spartan
242	@watch_morning	@watch_morning
243	@watchful1	@watch_morning
244	@weirdsanimals @lightningsviral	@eviljohnsavage @kajundo
245	@who exclude taiwan talk world “ invaluable leader	@who exclude taiwan talk world “ invaluable leader
246	@who met today	@who met today
247	@who met today meet tomorrow	@who met today
248	@wired	@wired
249	@wongtafuk	@wongtafuk
250	@wsjheard	@wsjheard
251	@xinqisu @appledaily_hk	@xinqisu @appledaily_hk
252	a	a
253	a @tamu student	a @tamu student
254	a @wsj reporter ’s first - person account	a @wsj reporter ’s first - person account
255	a ban fentanyl	a ban fentanyl
256	a bay area school district	a bay area school district
257	a bigger outbreak	a bigger outbreak
258	a busy ped amt children i saw adverse vaccine reacti	a busy ped amt children i saw adverse vaccine reacti
259	a california woman	a california woman
260	a cdc report	new cdc study
261	a clear picture	a clear picture
262	a coalition	a coalition
263	a commission	a commission
264	a communal meal	a communal meal
265	a diagnostic test	a diagnostic test
266	a disease	disease
267	a doctor	a doctor
268	a false rumor coronavirus outbreak plot bill gates	a false rumor coronavirus outbreak plot bill gates
269	a false rumor coronavirus outbreak plot former microsoft ceo bill gates	a false rumor coronavirus outbreak plot bill gates
270	a good friend home china new year ’s	a good friend home china new year ’s
271	a group chinese students	a group chinese students
272	a health surveillance officer	a doctor
273	a laboratory wuhan cusp	a laboratory wuhan cusp
274	a lockdown	a lockdown
275	a man	a man
276	a medical team	a medical team
277	a new strain coronavirus	coronavirus
278	a new strain coronavirus emerged china	wuhan coronavirus
279	a new strain coronavirus spreading wet market city	coronavirus
280	a new virus	virus
281	a new virus spreading china	a new virus spreading china
282	a new virus spreading china detected seattle	a new virus spreading china
283	a passenger board flight china 's killer virus epicentre	a new virus spreading china
284	a patient	a doctor
285	a patient infected with coronavirus collapsing in the hospital	coronavirus confirmed us case
286	a person caught coronavirus wuhan	suspected case wuhan coronavirus
287	a plane	a plane
288	a recent story @caixin	a recent story @caixin
289	a single ebola carrier	a single ebola carrier
290	a single patient	a single patient
291	a social media video unverified shows	a social media video unverified shows
292	a state war '	a state war '
293	a stephen king novel broken china history ’s anti - science president	a stephen king novel broken china history ’s anti - science president
294	a story	a story
295	a study @truthinitiative	a study @truthinitiative
296	a sudden overnight quarantine 7-hour grace period	a sudden overnight quarantine 7-hour grace period
297	a sudden overnight quarantine 7-hour grace period people leave	a sudden overnight quarantine 7-hour grace period
298	a swine fever	a swine fever
299	a texas	a texas
300	a thing	a thing
301	a tweet chinese citizen	@who exclude taiwan talk world “ invaluable leader
302	a vaccine	vaccines
303	a vaccine wuhan coronavirus	a vaccine wuhan coronavirus
304	a video circulated social media	a social media video unverified shows
305	a video hospital	a video hospital
306	a video shared resident wuhan	a video shared resident wuhan
307	a video shared wuhan resident	a video shared resident wuhan
308	a world health organization emergency committee	a world health organization emergency committee
309	a worrying development - latest version diagnosis treatment guidelines	a worrying development - latest version diagnosis treatment guidelines
310	a8 vaccines	a8 vaccines
311	a9	a
312	ab	ab
313	about wuhan virus social media	about wuhan virus social media
314	absolutely homelessness epidemic	epidemic
315	abt caree	abt caree
316	access	access
317	according cdc curiosity driving factor	according cdc curiosity driving factor
318	accurate count way chinese handling	accurate count way chinese handling
319	accurate real - time reporting deaths overdoses	accurate real - time reporting deaths overdoses
320	act	act
321	act together	act
322	action	action
